Ciudad;Año;Mes;PM2.5;PM10;NO2;SO2;O3;Temperatura;Humedad;Indice_AQI
Cali;2016;10;30.501.837.882.550.800;7.079.598.908.232.030;15.261.338.463.067.400;1.544.752.229.781.520;2.472.157.245.109.410;15.652.683.815.154.900;6.678.216.930.431.520;15.232.514.371.414.000
Bucaramanga;2019;6;4.190.623.474.764.230;5.665.231.891.279.740;23.130.284.871.827.100;1.126.784.114.068.920;23.426.303.357.694.800;16.987.224.797.096.400;7.255.684.633.723.380;11.208.230.029.309.800
Cartagena;2020;5;32.906.869.356.081.400;7.720.261.902.555.120;10.952.347.783.329.900;9.953.142.207.396.170;53.199.510.165.744.400;20.626.302.553.203.800;6.895.146.990.885.960;4.925.127.805.726.440
Medellín;2018;3;38.851.748.859.870.800;7.834.918.062.726.330;21.531.256.081.099.000;55.320.593.755.079.100;23.633.186.043.746.500;29.593.875.027.458.200;6.227.004.386.310.540;781.868.941.709.509
Pereira;2017;11;31.572.911.842.856.800;716.228.766.369.924;82.036.450.229.337;891.896.541.108.337;25.346.977.025.686.400;210.682.806.892.666;4.294.836.165.801.070;12.972.254.957.075.200
Bucaramanga;2021;11;45.005.982.090.925.300;7.357.430.248.671.900;3.246.316.522.559.120;7.439.852.428.703.590;49.394.129.678.097.900;2.983.026.049.183.060;579.350.863.131.424;2.709.537.622.693.010
Medellín;2016;8;1.182.415.388.890.340;6.652.370.299.061.250;3.266.503.767.005.570;1.285.997.818.696.340;36.920.115.738.471.600;24.172.125.576.890.600;8.611.653.504.213.800;43.545.644.252.342.200
Cartagena;2020;4;29.550.319.874.171.800;8.991.909.856.452.810;3.284.170.173.724.470;5.750.620.374.412.980;4.183.079.079.539.090;2.741.684.648.180.250;5.680.415.949.290.690;8.509.380.614.148.870
Bogotá;2018;10;39.448.590.150.414.600;8.472.454.890.330.250;25.288.724.801.744.600;12.823.253.607.517.700;19.126.645.523.731.300;2.393.584.313.313.400;44.245.770.443.537.600;13.706.861.108.144.700
Santa Marta;2020;3;43.005.428.720.092.800;5.033.793.705.711.700;1.620.129.595.289.900;5.805.072.186.351.710;2.363.784.380.189.110;23.896.240.033.109.600;5.416.750.378.347.540;9.133.007.633.062.760
Bucaramanga;2018;6;5.739.428.934.130.740;4.978.818.793.682.810;16.996.593.679.640.500;8.688.237.229.199.900;17.523.379.707.852.400;25.763.553.005.530.300;6.867.030.568.241.290;1.184.373.054.187.560
Cúcuta;2018;8;29.134.629.997.016.300;6.491.251.165.946.870;4.030.172.055.220.520;13.080.221.985.064.000;3.961.513.855.242.970;19.166.457.589.571.200;586.116.824.915.238;10.019.259.802.047.400
Bogotá;2018;9;5.719.222.642.791.300;8.473.674.248.210.350;39.356.771.037.997.900;648.101.640.006.978;4.470.291.849.340.130;1.922.143.227.726.250;6.580.244.381.936.200;943.659.164.782.432
Santa Marta;2023;6;25.114.642.600.104.900;7.296.114.827.781.620;26.225.551.569.507.700;1.325.268.244.488.800;22.802.707.569.821.800;23.747.734.930.822.900;5.802.320.193.031.290;7.384.853.745.149.260
Cali;2021;5;5.492.969.617.316.960;571.369.917.975.469;19.843.659.659.196.700;12.764.970.788.356.800;25.629.104.125.148.600;31.705.557.377.530.100;8.514.615.844.593.210;13.359.302.525.255.700
Manizales;2017;12;4.726.200.690.047.550;752.303.719.345.166;3.868.623.422.698.510;8.645.246.633.115.280;26.154.119.219.536.100;142.962.338.736.651;7.736.274.266.197.870;4.982.928.465.030.270
Barranquilla;2017;11;2.129.812.130.551.660;6.338.378.960.955.450;180.549.683.861.519;15.808.916.006.778.900;11.433.312.080.661.800;11.854.071.902.799.800;100.0;9.065.371.662.360.510
Cúcuta;2020;2;3.960.558.855.877.730;8.760.972.920.448.260;27.288.492.080.959.000;10.388.921.709.885.500;21.914.135.066.884.100;20.681.280.818.856.900;6.427.418.055.095.270;14.584.517.352.106.900
Cali;2020;2;34.231.462.467.017.100;7.666.116.870.134.090;3.851.957.305.398.450;1.551.138.263.292.670;3.927.919.457.716.320;2.715.423.540.246.870;6.572.681.237.141.100;6.943.016.410.107.560
Cartagena;2018;9;4.438.376.890.512.500;63.694.436.250.957.100;16.636.615.003.353.700;18.967.324.624.385.800;1.949.497.794.665.880;22.256.880.428.400.900;8.775.253.035.312.920;3.774.650.600.163.980
Cali;2023;2;31.650.926.173.500.300;7.463.037.544.092.920;3.329.223.585.637.110;8.793.494.891.493.440;31.115.782.346.459.800;16.153.350.765.924.700;758.651.257.779.438;15.326.897.728.526.000
Manizales;2018;2;3.039.130.661.507.400;9.630.096.119.048.400;30.205.607.958.438.600;13.224.774.920.136.900;1.430.377.230.643.010;22.395.467.484.331.900;5.587.739.979.696.350;12.665.098.423.808.100
Cartagena;2023;3;5.553.641.874.144.270;5.860.739.846.907.240;2.460.483.457.768.430;6.812.160.373.385.620;28.271.989.066.453.500;13.335.133.935.584.200;7.834.631.978.235.430;12.934.462.447.157.700
Cúcuta;2018;3;335.191.865.831.649;7.805.313.963.294.320;15.065.664.008.668.800;4.835.927.952.459.000;23.240.146.144.967.900;25.144.585.304.370.800;7.594.793.345.969.520;8.623.079.117.512.210
Manizales;2016;4;4.739.633.486.287.640;6.859.079.319.068.000;1.775.560.239.896.720;9.022.701.713.067.850;15.339.942.194.594.700;20.454.459.917.734.500;430.930.616.781.139;4.915.886.576.358.510
Medellín;2016;7;31.619.727.724.337.000;7.853.967.367.724.190;27.894.510.728.506.500;3.186.998.601.252.680;3.948.463.315.386.130;2.158.983.750.227.280;60.230.339.501.306.800;94.156.118.428.764
Barranquilla;2019;9;59.999.948.888.412.800;5.690.870.116.808.530;10.766.632.051.186.100;531.196.110.176.345;4.015.952.833.441.220;2.413.592.735.255.570;7.285.480.285.089.420;14.712.377.873.443.900
Cúcuta;2018;2;248.249.805.599.676;7.220.670.866.318.750;263.074.385.901.825;12.957.162.996.605.300;183.655.354.531.683;23.028.444.586.880.500;916.941.956.086.607;4.922.812.334.830.560
Medellín;2021;4;2.578.784.703.129.220;9.215.646.564.833.600;30.410.509.840.616.600;74.317.549.227.558.000;27.405.798.429.675.200;19.293.702.131.344.400;804.699.766.644.043;1.423.269.767.868.940
Santa Marta;2019;9;57.867.757.716.738.500;5.125.986.037.507.780;34.852.201.728.091;13.552.570.435.609.300;3.053.182.419.686.930;27.168.064.188.232.300;61.539.330.788.020.000;3.219.083.973.521.960
Cúcuta;2020;2;28.325.804.136.571.200;43.411.897.933.498.300;11.016.429.255.397.700;11.497.059.690.087.400;8.222.858.554.465.800;25.984.662.823.195.200;5.937.697.143.236.350;54.520.653.598.474.100
Santa Marta;2024;10;5.901.611.459.246.580;4.417.088.871.026.070;38.162.472.971.612.700;19.255.770.310.095.500;13.234.887.283.271.600;13.128.579.038.878.600;8.196.599.865.864.590;10.437.108.039.002.000
Cartagena;2018;11;4.837.760.869.392.210;4.658.674.939.599.620;4.195.363.494.179.930;1.262.168.642.788.020;45.435.413.236.401.300;2.084.878.664.263.700;336.051.040.575.114;13.790.610.134.860.400
Medellín;2016;1;326.802.544.015.875;8.190.646.575.785.320;2.910.151.567.713.590;1.557.109.035.139.650;17.218.477.241.969.100;16.598.566.031.518.600;5.788.628.014.700.380;15.886.570.812.212.400
Barranquilla;2024;10;7.800.597.919.742.620;41.882.806.282.690.600;14.619.514.185.753.300;12.009.423.315.637.700;4.509.819.729.902.030;15.659.709.504.022.800;9.113.962.003.562.690;13.967.026.075.253.900
Manizales;2023;8;3.471.022.543.592.240;6.404.209.310.512.930;21.718.907.116.397.500;11.556.967.505.390.300;1.385.503.590.740.000;24.675.668.117.558.000;744.522.621.884.957;16.209.059.657.419.400
Pereira;2024;9;3.652.445.080.300.130;8.236.578.606.621.410;24.524.027.548.814.900;15.823.665.210.566.500;37.905.933.325.684.800;19.903.693.596.673.700;5.862.008.271.658.100;10.728.241.951.718.400
Cali;2021;7;52.508.265.999.565.500;7.833.318.121.097.180;2.770.463.508.730.550;13.343.987.329.326.300;26.264.362.709.875.900;2.128.614.175.526.790;5.196.874.861.749.500;7.513.648.265.383.910
Bogotá;2018;8;5.882.670.764.360.160;62.288.820.400.750.200;25.219.815.526.436.000;1.105.031.806.478.710;279.508.047.701.476;186.515.753.311.147;8.259.602.001.983.720;14.736.345.476.495.900
Barranquilla;2017;4;24.725.192.312.843.700;7.381.847.463.510.210;2.781.165.142.894.610;11.028.273.329.648.500;5.227.123.096.240.750;2.385.087.726.409.910;711.671.701.988.951;15.454.016.078.790.100
Medellín;2024;4;4.701.772.645.982.270;7.214.290.659.475.130;24.092.532.426.608.700;12.691.146.559.152.000;14.949.760.388.175.800;25.391.734.426.595.100;6.671.934.310.412.220;13.723.292.239.030.300
Pereira;2017;2;46.481.032.340.200.200;6.551.518.088.903.620;2.765.107.094.512.240;6.643.132.402.700.570;3.713.757.835.513.280;3.285.127.431.488.160;7.560.970.835.983.280;12.450.242.735.096.400
Barranquilla;2023;8;5.110.119.053.615.660;657.833.056.269.084;20.394.765.788.386.800;6.431.002.669.306.500;3.664.187.596.269.380;21.095.128.677.509.200;7.246.897.074.470.340;15.567.886.627.380.800
Medellín;2019;11;4.248.034.868.203.310;11.470.854.869.513.900;21.618.132.830.175.300;1.712.702.966.186.460;7.025.488.066.999.650;14.757.912.626.122.400;713.185.871.106.818;11.367.884.620.505.700
Bucaramanga;2017;2;586.253.463.557.345;8.618.621.807.862.600;19.239.748.295.233.300;19.322.068.319.299.900;1.707.443.015.721.730;1.948.053.154.784.240;50.137.194.716.156.700;9.917.875.136.763.170
Bucaramanga;2019;9;32.668.663.512.083.600;11.961.301.835.024.200;4.417.259.534.504.070;5.355.587.707.949.170;2.248.818.247.795.870;26.235.299.606.908.200;54.603.622.700.091.200;12.902.085.863.995.200
Santa Marta;2016;4;1.766.438.637.624.620;6.006.073.734.158.990;39.639.007.861.743.200;6.655.027.837.801.470;3.979.106.742.999.060;1.813.677.404.934.840;8.122.420.654.141.620;11.910.318.685.606.200
Barranquilla;2018;1;3.196.091.340.622.880;6.830.066.806.223.700;30.552.941.900.136.100;15.712.614.097.520.700;27.596.833.689.577.600;14.589.362.002.725.000;7.838.727.150.517.350;135.411.644.866.723
Bucaramanga;2024;4;4.970.006.354.200.840;43.357.484.694.467.000;3.825.308.997.267.730;12.667.599.965.711.900;24.443.388.519.219.000;1.824.091.156.855.960;7.573.179.888.667.970;9.472.254.676.907.310
Medellín;2016;3;39.577.262.538.124.500;53.808.663.958.208.500;3.298.461.338.977.880;1.338.214.052.660.460;4.149.013.785.987.790;19.333.170.411.253.400;612.023.100.573.312;13.637.001.256.659.600
Santa Marta;2016;12;5.222.136.299.596.140;10.803.826.297.325.000;26.812.711.595.140.500;14.483.006.474.265.200;26.801.178.764.355.300;1.658.665.226.017.670;8.147.784.893.146.970;13.430.465.861.905.000
Medellín;2022;6;40.126.308.810.703.000;59.559.314.203.164.800;9.944.286.589.803.160;8.796.339.191.279.620;1.929.769.115.542.290;2.308.738.257.058.210;6.443.882.782.619.230;10.853.397.104.045.500
Santa Marta;2015;7;1.552.511.090.496.640;10.838.562.600.288.900;223.783.607.987.486;11.649.849.624.950.900;3.871.452.185.714.370;216.048.885.939.664;8.952.300.191.623.410;6.998.794.755.817.120
Barranquilla;2021;8;5.0;4.513.275.478.640.210;2.164.962.107.981.640;1.126.096.075.349.040;34.503.456.096.334.300;25.948.526.204.093.900;5.879.765.515.892.900;14.962.497.274.363.700
Pereira;2019;2;37.232.131.425.193.800;4.893.061.931.853.440;1.366.924.826.907.840;5.707.541.998.772.690;26.245.840.852.728.200;19.770.700.825.372.000;62.120.685.454.698;5.161.370.155.966.280
Manizales;2022;6;3.179.110.300.473.250;63.175.375.579.531.500;1.013.837.725.393.380;1.157.545.471.607.850;25.676.381.774.879.700;24.790.323.842.842.500;6.772.826.801.781.690;6.169.176.908.863.820
Cúcuta;2015;6;2.034.581.390.927.170;6.872.500.156.641.640;2.992.719.346.567.020;1.618.855.348.074.830;19.021.120.740.713.200;19.538.646.029.881.600;8.270.950.720.861.340;10.672.091.390.509.500
Pereira;2021;10;9.490.591.255.229.330;884.617.458.490.026;2.824.504.322.370.810;8.329.333.805.783.190;387.011.622.613.841;1.635.193.819.095.630;6.947.382.893.919.980;0.0
Cartagena;2019;12;23.978.851.797.909.300;7.901.540.834.372.530;1.332.603.019.932.380;1.076.284.624.370.460;256.787.061.929.475;19.284.904.323.770.300;7.056.523.523.024.340;16.171.837.336.693.900
Medellín;2018;5;3.208.262.772.702.830;6.167.369.485.311.940;17.541.214.935.638.100;1.103.354.458.005.420;2.076.184.915.711.590;13.908.664.054.748.500;6.412.613.174.429.360;10.058.768.957.811.000
Cartagena;2021;10;4.498.816.735.559.580;6.733.368.386.963.780;36.612.222.731.541.600;8.576.677.247.823.640;14.573.337.993.697.700;30.941.078.199.914.800;7.402.137.979.961.650;16.157.932.970.506.300
Pereira;2024;10;378.294.662.235.197;63.618.741.604.305.900;16.223.034.864.834.300;1.338.450.618.847.170;3.470.585.229.490.600;22.712.498.738.930.000;6.893.904.258.858.910;17.216.134.398.238.900
Santa Marta;2016;7;5.912.100.870.759.090;51.706.925.293.485.400;26.707.989.039.338.000;6.599.671.843.725.060;2.389.700.425.304.400;18.022.965.548.347.600;5.823.546.424.127.920;9.380.674.634.413.180
Cúcuta;2015;3;19.465.939.159.319.000;52.240.741.267.967.500;23.102.217.004.320.100;16.663.227.593.479.600;5.847.896.232.131.140;20.111.779.188.589.600;719.093.722.382.257;15.395.004.216.601.900
Cúcuta;2015;4;482.158.833.808.615;9.055.767.782.866.810;30.063.634.710.620.600;13.131.027.808.161.200;15.560.774.524.271.400;9.747.680.083.799.650;7.226.213.152.937.530;57.595.542.912.390.100
Bogotá;2015;10;3.570.948.114.693.090;334.367.014.414.572;16.438.923.473.435.600;5.316.156.996.635.520;27.196.836.772.092.200;29.171.766.125.359.000;100.0;11.733.188.488.854.900
Cúcuta;2019;9;4.542.003.686.177.870;10.234.717.394.890.100;2.590.083.477.540.100;18.490.048.424.431.200;27.533.548.020.993.900;28.682.740.221.071.100;6.083.460.881.469.530;8.106.441.401.046.310
Manizales;2024;4;28.452.277.051.016.800;6.314.011.548.795.530;2.668.722.577.345.870;10.840.507.306.307.900;2.707.749.299.555.210;22.537.709.520.800.400;57.409.363.861.466.900;12.785.943.607.187.700
Cúcuta;2021;3;5.107.520.560.835.880;545.498.278.721.568;27.301.808.062.292.100;6.385.262.413.824.740;25.406.926.661.189.200;23.597.311.480.317.000;7.418.551.390.890.440;13.530.294.028.300.400
Pereira;2016;2;3.942.837.137.517.860;8.479.518.581.394.530;25.790.738.579.626.100;15.522.772.624.955.900;12.289.755.327.163.000;15.661.616.115.371.600;5.510.745.374.243.300;9.360.368.395.009.410
Bogotá;2024;5;2.480.832.522.623.370;9.970.433.168.294.230;284.460.932.059.411;12.473.357.597.240.100;19.505.417.710.211.300;16.025.150.523.697.400;5.390.424.778.189.260;12.179.285.356.479.100
Pereira;2022;4;3.481.963.956.630.210;9.235.264.883.207.910;4.691.770.332.050.810;1.140.201.478.829.800;4.420.532.383.780.920;1.351.351.925.406.130;48.446.519.651.862.700;1.377.882.521.156.880
Pereira;2018;8;31.406.662.115.943.500;8.003.704.098.719.780;5.061.297.776.771.100;7.371.698.413.780.730;4.243.473.752.223.670;21.194.659.571.132.000;5.838.139.652.211.340;10.751.280.541.131.700
Cali;2017;7;4.233.767.525.956.690;9.173.726.979.443.670;1.860.783.859.213.270;11.395.486.686.107.700;3.693.542.138.812.860;27.305.177.024.329.600;5.875.168.381.087.180;20.156.161.274.187.700
Bogotá;2024;6;1.730.334.875.938.230;3.567.004.845.712.260;5.0;1.0;3.587.403.124.848.800;20.083.926.856.488.200;50.751.067.394.889.900;945.144.550.357.383
Pereira;2022;11;34.559.724.468.264.500;5.956.338.917.023.700;30.954.953.007.219.700;1.042.535.042.693.690;408.570.708.967.859;23.738.479.150.888.000;662.457.439.548.155;16.623.425.113.081.300
Cali;2016;12;40.929.608.789.739.900;51.776.598.799.503.100;26.862.524.599.012.600;107.898.968.635.263;16.550.463.150.094.700;2.689.416.947.446.780;34.510.282.784.019.900;14.581.565.066.662.100
Cali;2017;2;354.953.496.078.955;9.449.277.462.430.350;356.104.185.918.358;4.082.540.588.120.880;3.039.514.040.108.330;1.387.949.661.010.980;7.737.648.671.967.540;25.604.182.199.542.000
Bogotá;2017;3;5.520.411.866.583.490;6.233.043.962.152.220;27.848.858.997.153.100;11.353.224.431.299.800;16.556.794.192.236.400;3.122.782.712.689.630;61.648.090.322.239.200;1.597.189.363.171.630
Cartagena;2024;10;46.610.341.611.065.700;8.690.813.113.564.110;25.586.039.395.257.100;10.037.319.195.625.100;1.676.502.636.281.670;27.786.601.937.156.300;638.532.448.376.163;1.429.577.997.191.490
Santa Marta;2015;9;348.877.880.488.888;8.071.713.884.977.270;3.628.906.595.877.220;4.043.529.470.574.920;34.416.779.252.963.200;2.456.946.358.880.210;7.880.312.515.540.450;1.045.658.367.509.310
Manizales;2020;9;382.503.364.624.651;5.275.386.127.672.630;3.768.780.588.413.840;14.597.802.734.314.100;413.610.052.696.305;26.620.472.652.680.300;7.557.615.864.075.990;11.475.493.957.629.900
Santa Marta;2016;5;3.943.498.327.222.990;5.826.083.580.047.430;11.134.399.412.190.000;14.189.268.973.839.000;27.673.810.386.929.500;2.685.538.151.637.530;6.055.140.935.944.310;11.971.163.713.548.900
Cúcuta;2015;3;4.104.949.406.250.230;9.587.635.381.629.450;16.833.938.128.604.100;8.551.314.565.738.190;4.978.800.518.651.400;2.346.319.943.294.900;7.677.686.133.487.230;15.501.234.573.615.200
Manizales;2016;2;7.615.130.065.030.870;5.449.034.702.631.170;23.944.070.407.113.200;9.007.093.383.040.880;3.254.141.192.454.640;29.141.389.764.462.800;9.323.341.912.408.120;8.347.693.863.233.010
Cúcuta;2020;8;30.477.105.563.459.700;7.249.735.220.390.950;25.984.376.239.245.800;13.631.319.687.976.700;20.678.573.611.001.800;1.973.669.825.691.270;54.817.246.283.101.600;16.344.009.684.051.900
Pereira;2018;6;12.733.413.977.098.600;543.491.742.734.711;22.740.167.966.477.500;8.996.684.284.440.960;16.959.257.377.515.900;24.309.056.025.976.900;8.130.662.067.034.640;56.637.650.539.751.000
Medellín;2020;10;541.742.142.118.923;6.372.095.626.168.270;2.934.207.177.861.880;1.0;42.217.577.810.216.500;286.082.140.062.503;5.330.341.393.458.330;2.959.466.127.333.110
Bogotá;2023;11;34.087.257.199.956.000;6.907.676.112.060.050;34.961.047.893.171;12.434.682.786.999.600;3.154.150.938.887.770;8.544.001.219.703.940;8.763.139.093.520.210;12.373.943.287.065.200
Manizales;2024;12;32.099.885.754.805.600;54.342.669.794.050.100;42.227.097.107.207.200;5.933.703.396.307.450;38.112.568.538.033.700;2.418.981.672.987.070;5.932.109.414.328.700;15.036.104.765.104.100
Manizales;2024;7;4.845.195.998.049.850;50.791.060.920.322.300;30.789.130.237.728.900;8.050.784.727.912.030;5.0;25.623.024.892.216.700;58.748.166.993.183.900;928.166.647.700.075
Pereira;2022;1;4.133.487.196.174.810;7.572.546.673.554.880;16.476.663.215.468.900;17.289.352.839.757.300;3.293.606.441.216.320;13.457.793.170.577.700;8.723.815.211.790.950;9.431.254.436.698.900
Cartagena;2015;1;18.070.482.284.311.800;5.310.525.182.417.640;23.526.237.748.021.800;9.330.107.629.956.000;23.858.709.738.045.100;2.340.910.043.008.290;8.082.362.418.633.640;4.036.238.761.922.970
Cali;2022;10;3.393.641.956.208.940;5.378.684.888.602.650;2.424.647.758.740.440;10.008.674.679.369.300;13.274.885.568.997.600;18.031.470.098.201.800;5.981.361.148.880.060;11.745.135.353.060.200
Pereira;2023;2;29.972.495.401.604.200;51.218.937.125.960.500;30.146.402.399.811.500;12.548.336.377.317.900;29.247.811.884.618.800;23.984.031.407.956.100;7.191.053.108.159.910;9.959.780.191.268.880
Bucaramanga;2020;10;8.832.006.670.909.180;6.844.183.907.337.360;2.888.168.033.433.940;12.526.669.719.370.100;4.310.176.240.385.340;21.525.003.517.946.200;5.935.072.149.270.150;15.137.121.803.932.000
Cali;2024;3;2.464.585.650.144.190;8.887.403.268.799.680;45.503.966.511.115.000;5.404.011.163.111.080;57.194.739.437.036.600;17.268.359.154.148.500;461.089.336.228.889;10.291.697.585.304.900
Bogotá;2019;12;3.224.689.516.975.300;10.013.057.272.624.500;20.384.868.647.450.900;9.698.507.422.328.120;3.290.582.888.787.010;27.548.318.318.007.200;728.392.767.719.123;7.037.646.830.902.830
Cali;2020;1;3.327.573.602.762.230;5.548.163.828.012.440;28.847.505.337.668.000;10.180.762.639.629.100;2.149.024.092.046.170;19.908.174.880.052.400;6.465.366.748.289.780;1.123.632.449.645.880
Cartagena;2020;5;1.276.652.864.484.030;11.300.621.586.662.400;48.547.113.977.440.900;11.360.134.483.144.100;207.659.693.217.784;23.349.818.970.107.900;5.581.249.665.617.740;14.062.448.237.042.900
Cali;2023;3;52.274.983.745.712.100;49.905.902.785.864.000;1.914.793.103.096.390;11.446.109.704.583.000;4.155.758.834.478.230;2.857.023.811.742.040;8.957.072.619.418.540;1.540.493.772.216.750
Bogotá;2018;1;33.468.454.116.628.400;9.167.097.046.655.730;2.645.148.696.170.350;22.937.206.143.887.200;18.037.510.570.165.200;17.416.527.528.084.000;5.631.969.731.747.960;9.555.962.566.963.500
Cartagena;2016;8;35.563.296.149.908.400;5.556.607.091.969.110;15.551.194.988.759.800;4.120.701.147.063.770;3.746.912.855.433.310;22.040.246.239.864.100;7.215.967.937.320.800;10.269.696.782.531.300
Santa Marta;2023;12;4.100.962.457.509.750;5.258.153.460.259.970;25.820.868.996.274.300;1.490.045.810.098.970;33.524.174.279.515.400;195.233.642.747.833;8.619.867.355.718.480;13.117.087.726.606.700
Manizales;2016;11;23.178.856.191.444.900;55.104.876.864.312.200;17.197.828.518.623.500;15.916.879.029.165.200;3.219.721.670.259.450;2.063.910.177.731.130;6.615.916.977.194.600;7.005.566.663.256.760
Manizales;2024;6;4.184.533.959.699.040;6.895.104.600.701.760;35.468.009.034.913.400;12.463.919.869.617.600;11.182.576.921.430.400;3.278.042.603.953.220;58.987.368.238.288.900;1.294.709.363.400.660
Cúcuta;2023;9;29.493.880.309.727.200;815.994.434.206.722;26.473.188.590.313.900;6.748.423.025.634.620;25.716.501.573.284.100;24.283.879.420.351.300;7.446.622.456.704.690;9.071.837.274.677.940
Santa Marta;2016;3;21.551.216.890.292.100;8.339.736.075.809.640;15.646.027.400.177.000;18.323.340.151.338.100;12.502.106.503.708.600;2.356.796.338.311.100;7.683.549.585.373.560;9.697.697.182.695.030
Santa Marta;2022;9;4.360.171.240.033.090;51.120.299.693.042.200;3.340.567.697.791.670;1.0;22.941.031.184.198.800;24.620.436.669.657.300;8.314.841.045.036.960;10.010.705.621.033.200
Cali;2023;9;57.375.107.882.027.100;50.206.814.249.774.600;26.796.660.388.715.800;65.836.665.139.108.600;41.005.663.938.246.100;2.415.129.813.791.230;9.806.814.177.240.260;10.518.359.572.107.900
Manizales;2024;12;45.872.440.602.287.400;51.667.226.132.729.000;34.528.187.772.234.500;15.858.410.986.114.000;4.477.269.484.026.670;12.870.932.305.074.000;6.314.063.477.563.830;1.765.513.552.040.340
Bogotá;2023;12;48.844.663.477.106.400;6.777.291.195.228.970;13.523.373.720.522.500;814.944.198.288.741;3.256.738.379.389.060;3.348.380.410.261.100;729.378.100.827.674;812.407.329.763.703
Barranquilla;2024;1;27.190.540.901.565.500;6.579.688.791.618.250;28.688.244.122.486.600;1.798.232.262.400.090;23.155.913.850.792.100;14.678.152.374.306.700;5.096.139.525.530.050;833.002.414.144.677
Barranquilla;2023;3;11.035.704.062.473.100;509.964.907.586.041;32.733.416.946.447.000;2.440.976.276.607.990;49.057.191.988.325.000;3.066.297.133.013.140;7.999.565.499.320.990;15.786.950.360.591.400
Cartagena;2016;6;5.735.206.283.149.760;7.539.207.388.126.480;20.766.225.097.642.600;443.949.053.025.996;2.299.691.239.492.580;25.090.076.825.111.200;7.275.574.964.043.640;11.778.763.381.179.000
Manizales;2018;8;658.177.233.410.714;11.525.137.616.670.600;12.409.972.730.318.400;7.341.809.149.365.120;16.371.762.098.291.900;22.903.895.090.672.300;6.731.965.901.812.000;13.070.222.840.263.500
Manizales;2021;4;58.142.101.606.545.200;59.905.690.763.296.900;2.458.392.504.629.600;12.086.996.387.682.600;383.577.956.150.014;20.472.575.119.616.700;6.072.909.231.119.580;5.878.997.953.673.560
Barranquilla;2016;5;29.963.210.915.303.700;61.329.763.575.929.300;3.728.115.293.780.920;8.889.899.248.099.880;3.549.280.851.083.640;35.025.802.755.466.400;6.477.359.371.978.170;10.985.736.715.256.700
Manizales;2015;9;17.680.484.919.067.300;8.119.323.140.648.730;3.625.930.330.634.050;7.548.003.737.187.890;2.348.908.906.888.990;2.502.244.780.087.210;7.354.499.514.719.060;132.415.029.865.246
