Ciudad;Año;Mes;Casos_Asma;Casos_Bronquitis;Casos_Neumonia;Casos_EPOC;Urgencias_Respiratorias;Hospitalizaciones;Mortalidad_Respiratoria;Edad_Promedio_Pacientes;Costo_Promedio_Paciente
Cúcuta;2019;1;20;14;8;7;29;15;1;4.981.214.579.048.040;6.627.499.470.951.120
Santa Marta;2022;8;21;22;10;11;32;14;0;9.535.327.777.820.310;5.323.739.014.407.550
Manizales;2022;12;20;14;24;11;28;13;3;4.603.614.701.197.440;50.624.960.025.352.900
Cartagena;2023;3;26;18;6;7;27;9;3;39.776.450.793.925.500;48.757.580.499.568.500
Bogotá;2017;7;9;14;10;13;37;7;1;50.686.665.509.816.600;43.237.029.643.438.200
Bogotá;2017;7;18;8;14;9;34;14;1;3.579.708.043.431.490;8.398.611.574.083.350
Bogotá;2018;3;25;14;6;16;21;8;2;52.679.401.851.519.100;48.416.412.571.578.200
Cali;2020;5;16;14;10;7;24;16;3;63.049.246.041.429.600;7.485.151.708.412.300
Manizales;2021;2;14;16;6;8;36;9;2;1.0;1.912.812.000.088.650
Cúcuta;2015;9;23;22;13;6;26;13;2;7.557.030.790.389.120;4.353.778.267.034.980
Bucaramanga;2016;5;25;15;13;6;32;14;3;4.644.756.071.498.770;5.547.552.610.259.160
Manizales;2017;4;19;13;9;16;32;5;3;3.094.131.690.247.870;47.373.951.467.732.700
Cali;2015;10;22;10;8;11;23;8;1;4.512.859.259.128.080;50.205.250.234.081.900
Pereira;2017;3;23;20;12;8;34;10;5;3.672.573.730.164.510;5.054.106.854.737.750
Santa Marta;2018;1;23;15;9;8;36;12;0;2.731.276.389.377.610;40.006.417.687.976.900
Bucaramanga;2020;7;25;12;11;4;27;14;1;360.222.463.331.468;40.411.259.823.328.600
Cali;2019;3;16;11;12;7;25;10;1;5.873.040.193.325.540;4.205.342.052.859.440
Medellín;2020;11;17;16;13;3;38;7;4;5.064.889.336.547.240;7.174.687.044.851.330
Cúcuta;2023;10;15;13;16;8;25;11;3;4.864.297.472.274.430;5.848.064.874.700.440
Manizales;2015;1;19;21;10;8;38;11;3;5.741.782.142.471.290;4.235.640.187.727.040
Santa Marta;2017;10;19;16;8;7;37;13;2;8.135.110.162.942.860;4.955.613.081.035.000
Santa Marta;2022;10;17;12;8;6;30;11;1;3.356.954.488.113.940;7.165.851.729.277.560
Cúcuta;2023;8;16;17;9;7;24;13;2;8.424.793.632.480.750;8.100.903.503.139.610
Barranquilla;2016;8;22;14;9;8;27;11;3;4.735.911.521.965.980;5.117.300.849.777.420
Barranquilla;2024;3;28;14;15;13;37;13;1;39.706.768.980.282.600;5.319.978.198.385.060
Bucaramanga;2019;10;24;9;11;11;35;13;2;21.950.312.440.034.800;5.234.792.480.849.740
Medellín;2017;3;15;17;5;10;29;11;3;3.900.614.758.796.030;100000.0
Santa Marta;2024;2;20;14;10;14;35;15;3;6.309.076.420.262.200;6.147.201.462.871.550
Bogotá;2016;8;22;18;7;8;25;10;5;27.171.882.240.951.700;7.866.048.585.092.710
Santa Marta;2023;9;24;13;4;8;28;18;7;2.158.677.499.187.870;2.721.930.752.579.110
Cali;2019;4;23;18;7;7;36;14;2;3.798.857.348.599.780;3.411.972.355.313.090
Cartagena;2023;4;21;15;9;9;35;13;3;7.183.912.524.868.090;4.200.515.379.089.180
Medellín;2015;12;20;14;12;13;34;16;1;4.472.570.508.037.240;8.497.106.548.058.860
Cúcuta;2018;5;15;13;9;5;21;9;3;5.912.154.562.563.410;6.904.775.654.469.420
Bogotá;2015;3;15;18;5;13;36;14;3;40.633.779.336.728.300;3.943.862.582.875.070
Cali;2019;5;20;17;11;6;22;13;0;4.203.621.949.406.280;7.035.272.389.023.970
Cartagena;2019;4;28;19;11;5;44;14;2;575.506.817.663.576;371.471.198.444.815
Bogotá;2021;8;16;16;9;13;31;11;4;4.963.774.146.214.560;7.060.780.934.665.680
Barranquilla;2021;5;19;15;14;5;27;5;1;6.079.520.662.570.370;8.320.587.304.713.740
Santa Marta;2022;7;28;9;9;7;33;12;2;3.775.349.261.704.700;7.311.277.801.259.070
Bogotá;2020;4;23;15;8;12;39;17;3;4.083.136.168.115.540;43.005.554.030.577.800
Manizales;2024;2;21;13;8;8;28;17;1;7.721.748.387.082.860;100000.0
Bogotá;2017;8;11;17;8;6;24;16;1;741.830.912.242.601;4.815.699.066.250.770
Cali;2023;4;22;19;7;7;28;7;3;47.138.515.479.940.200;3.772.162.530.171.220
Barranquilla;2019;12;18;16;9;5;38;11;0;6.889.778.685.251.230;8.405.085.814.692.270
Barranquilla;2023;9;14;9;8;11;27;15;5;48.641.945.266.302.200;42.948.039.845.264.700
Manizales;2019;6;20;18;10;9;27;15;1;63.488.089.348.100.000;39.679.241.000.833.600
Cartagena;2017;8;21;13;14;6;31;12;1;7.519.697.590.294.590;6.559.073.192.218.830
Pereira;2021;9;22;11;8;7;25;17;2;40.694.126.693.480.000;3.735.157.846.487.830
Cali;2023;9;25;18;8;7;25;8;4;40.301.671.213.542.300;7.255.584.923.039.300
Pereira;2015;9;28;11;11;11;36;9;2;19.267.707.913.214.900;43.960.710.994.498.000
Cúcuta;2017;7;30;21;11;4;30;9;0;4.115.490.473.672;5.436.809.469.828.050
Cúcuta;2021;12;15;15;8;5;26;7;3;3.063.003.937.244.860;6.702.390.256.171.220
Cúcuta;2023;3;12;12;8;9;29;14;1;4.394.448.027.724.410;9.431.310.499.119.120
Bogotá;2018;8;22;8;13;6;29;18;3;5.052.725.481.994.030;4.268.966.905.375.530
Cúcuta;2019;7;21;15;12;5;36;18;3;4.382.202.031.348.550;27.416.194.316.021.000
Pereira;2022;9;12;13;7;5;27;5;1;5.367.213.418.860.110;11.531.007.213.206.600
Medellín;2018;5;25;22;10;6;35;8;1;5.613.924.659.413.910;3.900.958.240.903.690
Cali;2016;4;15;19;10;9;29;15;2;6.830.740.940.547.690;6.540.123.232.895.480
Manizales;2021;2;19;17;11;9;25;6;2;3.840.820.268.736.340;4.837.809.029.718.700
Cali;2016;7;19;18;9;6;25;12;0;6.903.123.887.319.020;49.085.561.065.366.800
Medellín;2020;6;19;10;9;6;28;15;3;8.029.068.336.863.600;19.914.554.258.316.900
Barranquilla;2021;6;16;18;14;10;30;13;5;19.200.494.488.671.900;3.004.249.999.436.960
Cúcuta;2022;10;15;18;10;9;29;10;0;63.659.725.330.392.600;3.821.590.015.782.710
Medellín;2019;8;26;18;12;10;29;12;0;4.914.573.440.201.400;4.096.947.743.044.610
Bogotá;2015;1;25;13;11;7;28;17;2;5.407.016.436.369.440;7.143.746.975.969.040
Santa Marta;2017;1;19;19;10;9;37;8;2;1.668.675.965.895.280;5.029.863.680.851.640
Manizales;2024;4;22;25;10;4;31;11;4;48.309.050.019.942.500;3.685.102.958.824.580
Bogotá;2023;8;19;16;7;10;32;15;3;4.917.994.836.568.150;4.523.016.472.569.450
Bucaramanga;2020;5;24;11;8;6;25;14;2;7.224.821.495.336.430;6.554.179.939.475.680
Cartagena;2019;9;24;10;13;6;45;12;1;530.408.605.348.825;3.343.339.430.574.550
Pereira;2015;3;26;15;12;14;32;19;1;3.665.542.127.380.670;485.497.028.353.858
Cali;2018;12;15;11;8;7;31;14;2;3.249.914.323.800.990;17.923.064.661.221.800
Cali;2019;6;25;17;11;12;25;12;4;57.825.513.425.126.400;5.712.159.840.016.330
Bogotá;2016;6;30;13;12;6;32;13;3;79.273.384.803.867;3.272.988.163.020.150
Barranquilla;2019;4;23;18;6;10;30;10;2;45.390.158.432.709.500;449.701.757.024.771
Santa Marta;2017;12;17;17;11;8;28;9;1;4.117.305.528.068.660;8.687.737.899.309.030
Santa Marta;2022;11;29;14;12;8;29;12;2;4.360.087.606.344.990;43.649.527.715.711.600
Bucaramanga;2024;2;21;15;10;5;34;13;3;4.568.429.831.059.530;4.887.861.896.367.090
Cartagena;2015;6;19;14;12;11;33;11;2;4.203.581.718.214.870;5.320.085.749.786.620
Manizales;2018;10;18;12;14;7;32;6;3;4.081.340.868.324.510;5.352.874.613.910.930
Santa Marta;2023;3;17;16;15;6;34;13;2;4.820.399.628.300.000;5.373.439.586.601.780
Bogotá;2015;8;22;19;13;4;38;9;4;405.014.280.769.041;26.830.099.732.435.600
Cali;2020;2;20;16;8;7;32;12;3;7.475.523.307.763.400;7.454.157.084.396.190
Barranquilla;2020;3;20;17;19;11;30;11;0;4.383.208.875.862.950;46.204.239.816.977.700
Bucaramanga;2016;9;26;10;14;7;31;12;3;6.525.662.915.595.560;3.162.841.076.821.760
Barranquilla;2015;11;24;19;10;9;29;9;2;4.931.109.404.164.120;41.760.120.617.754.900
Manizales;2015;2;22;17;7;4;34;10;2;502.900.488.295.246;4.283.658.005.714.960
Santa Marta;2024;11;14;12;11;8;36;10;1;29.474.635.912.860.600;51.680.097.333.524.700
Santa Marta;2019;11;11;9;9;8;26;10;3;6.084.303.075.327.790;387.994.114.335.652
Cali;2019;11;21;20;10;5;29;5;1;7.548.920.500.262.080;3.785.832.917.042.860
Pereira;2024;10;16;17;13;9;26;15;1;35.667.605.809.562.300;46.740.672.376.555.200
Manizales;2021;12;24;21;17;6;24;14;0;4.097.766.653.881.830;6.456.400.129.387.070
Cali;2023;1;20;18;9;4;38;13;1;1.719.198.603.566.850;4.872.019.026.583.330
Cúcuta;2018;3;18;18;16;3;37;11;4;40.858.818.044.742.100;3.725.102.161.605.180
Santa Marta;2018;10;19;11;10;11;30;15;0;3.936.001.496.489.720;21.476.653.861.121.000
Cartagena;2021;6;15;13;10;11;28;8;2;3.526.117.643.258.150;5.629.511.129.159.590
Medellín;2023;8;18;16;8;7;35;14;2;28.196.494.181.476.200;5.640.030.404.527.310
Cúcuta;2021;10;21;19;7;7;37;13;2;7.013.132.067.118.310;46.756.226.692.731.800
Pereira;2022;5;20;16;7;12;39;7;3;3.095.067.412.338.550;5.108.551.677.581.860
Pereira;2024;2;14;27;12;11;21;12;1;31.522.840.578.926.900;20.283.049.680.533.700
Bogotá;2021;12;18;23;13;4;31;13;2;3.647.338.096.972.040;5.542.319.700.630.270
Barranquilla;2023;8;28;11;6;14;34;11;2;8.086.199.171.636.610;6.970.974.420.241.680
Manizales;2020;2;15;12;7;1;26;12;4;6.554.905.510.363.700;6.311.109.157.218.560
Bucaramanga;2023;4;10;14;7;12;37;15;3;30.582.259.212.218.800;9.537.770.590.408.390
Cúcuta;2017;9;16;13;6;9;30;7;1;5.152.868.357.031.340;9.055.192.891.709.260
Pereira;2018;7;21;7;8;3;22;10;3;30.211.182.163.275.100;6.344.538.987.841.310
Cúcuta;2023;3;15;22;11;7;17;14;1;49.663.308.936.280.900;7.631.712.560.066.500
Barranquilla;2016;1;18;17;11;7;32;13;1;5.827.843.901.439.610;1.093.519.507.393.450
Pereira;2016;11;24;15;9;4;36;10;1;3.806.322.184.257.160;715.385.794.623.946
Bucaramanga;2024;6;24;28;10;7;29;12;0;5.224.444.721.201.810;6.663.950.747.772.790
Cúcuta;2022;9;20;8;17;7;28;12;1;15.260.496.934.319.500;8.433.394.081.153.500
Santa Marta;2024;4;19;15;8;9;28;15;3;4.881.597.620.896.570;10.000.619.923.251.500
Bogotá;2020;11;23;21;15;11;22;14;1;7.156.651.348.393.780;44.170.458.615.334.000
Bucaramanga;2019;7;26;12;10;6;34;4;4;16.056.783.611.162.200;32.758.995.814.613.100
Santa Marta;2016;3;21;19;11;9;30;13;1;5.432.417.148.399.780;4.671.450.560.189.120
Santa Marta;2015;1;8;9;13;8;31;14;3;3.287.556.507.691.280;29.819.263.782.960.500
Medellín;2017;5;21;9;8;8;23;11;2;3.524.489.720.288.210;5.459.124.916.137.280
Cali;2020;1;23;17;13;8;34;14;1;1.019.962.787.022.400;2.922.429.437.828.600
Cúcuta;2019;2;22;10;12;7;30;15;2;68.034.073.318.105;31.057.281.133.786.800
Cartagena;2020;7;20;16;9;11;22;14;3;8.459.251.411.486.640;4.007.122.242.597.250
Cartagena;2021;1;19;13;14;10;21;15;4;34.257.499.274.899.400;543.781.503.131.909
Bogotá;2021;6;18;11;6;7;30;12;4;54.279.893.395.290.500;5.323.748.066.919.510
Santa Marta;2017;7;27;13;14;9;24;10;4;9.685.279.233.980.660;31.274.965.959.253.700
Medellín;2024;4;17;17;11;13;24;15;1;9.146.401.550.650.890;4.792.212.292.064.900
Cúcuta;2022;4;32;17;17;16;45;17;3;35.078.058.437.458.100;6.011.967.363.965.360
Manizales;2022;2;22;12;9;5;32;12;1;12.564.176.343.851.800;51.080.069.578.102.200
Barranquilla;2017;5;21;17;8;4;31;8;5;4.253.111.543.210.550;34.080.327.404.203.400
Manizales;2020;12;23;12;7;5;31;16;2;7.987.035.485.710.120;42.248.234.308.090.800
Santa Marta;2023;7;21;12;13;7;36;23;2;50.598.161.448.789.700;2.684.990.169.168.400
Medellín;2015;4;27;22;6;6;19;9;4;27.055.952.558.426.800;4.972.700.465.233.300
Cartagena;2016;8;19;18;16;5;30;6;3;60.969.487.587.855.100;661.667.067.673.431
Cúcuta;2016;8;22;16;7;9;37;14;0;42.420.260.525.459.200;7.388.708.291.616.770
Medellín;2019;11;22;10;13;6;25;14;4;52.356.637.120.203.800;3.984.314.195.438.180
Cali;2020;7;19;18;8;5;34;6;5;4.477.134.970.420.550;6.299.759.173.300.270
Cartagena;2017;3;26;15;9;6;38;9;1;380.827.214.168.356;25.531.915.266.500.400
Cartagena;2018;10;17;16;10;8;38;13;2;41.277.857.437.430.500;49.793.202.588.913.900
Pereira;2024;12;22;16;9;10;28;11;3;21.941.012.464.410.300;6.798.754.836.686.020
Manizales;2016;9;22;15;13;8;34;11;2;7.776.849.403.121.840;6.671.052.817.744.650
Cali;2017;8;27;17;6;7;30;17;1;25.446.121.376.079.300;16.574.003.295.929.900
Cartagena;2022;10;18;12;7;7;37;13;1;4.674.752.625.275.450;6.978.455.859.823.170
Pereira;2019;1;13;16;9;6;32;10;8;3.115.302.038.221.260;27.196.106.765.479.700
Cartagena;2016;9;16;16;13;8;29;15;2;59.247.994.427.190.000;5.352.913.991.758.800
Medellín;2024;7;24;19;7;9;17;8;1;31.165.858.533.081.200;6.044.844.110.788.630
Santa Marta;2024;10;27;19;8;9;34;7;2;28.123.146.732.378.000;2.687.257.637.557.540
Medellín;2016;10;18;11;15;3;35;11;4;3.765.840.638.095.410;3.655.261.546.910.980
Bogotá;2018;4;24;16;11;9;23;10;4;24.555.019.790.265.600;400.663.006.962.686
Bucaramanga;2023;5;21;21;14;8;27;16;0;1.0;5.511.606.949.248.490
Bogotá;2020;7;16;15;12;5;32;11;0;4.838.146.335.512.830;19.284.105.901.836.700
Pereira;2015;8;23;10;14;3;29;11;5;3.853.363.254.720.350;41.807.111.660.882.100
Bogotá;2018;4;18;12;10;8;43;7;1;3.661.195.180.534.570;39.594.301.572.380.400
Pereira;2017;7;29;11;12;9;28;12;1;7.116.069.074.724.550;46.328.731.568.191.600
Bucaramanga;2015;6;14;10;17;3;23;15;2;7.641.455.280.279.770;6.757.046.416.464.080
Cúcuta;2020;9;22;15;5;9;29;10;1;2.084.587.711.274.100;5.543.150.011.001.910
Cali;2024;4;16;14;5;12;26;12;4;324.169.732.431.603;6.835.590.591.090.960
Manizales;2015;4;17;13;8;11;31;14;1;5.942.944.107.998.410;2.393.039.782.376.900
Medellín;2015;3;16;18;12;3;31;16;1;2.669.261.816.794.400;6.246.977.615.231.530
Cartagena;2021;8;26;17;5;6;35;8;2;25.759.178.357.936.700;47.769.105.171.663.600
Bogotá;2015;8;17;11;3;9;26;4;3;3.047.103.451.394.460;12.940.716.573.923.600
Cartagena;2017;4;17;12;8;9;42;15;1;5.562.285.107.385.160;30.606.608.046.407.600
Pereira;2019;3;25;19;13;7;34;13;1;29.153.162.788.254.000;6.862.660.697.696.960
Santa Marta;2017;6;29;13;6;5;30;14;0;44.221.914.914.654.900;9.416.593.016.978.780
Cali;2020;9;20;9;5;15;24;14;1;34.752.781.343.442.200;5.412.055.023.143.690
Bucaramanga;2023;8;24;15;5;9;30;8;1;4.235.829.242.456.630;5.293.023.833.185.640
Barranquilla;2016;7;20;15;9;6;35;8;0;7.276.750.233.331.200;5.906.925.056.448.740
Pereira;2021;7;24;13;9;14;27;13;3;5.404.334.176.669.170;4.133.936.944.278.350
Medellín;2018;5;22;13;10;7;23;10;2;6.185.028.946.596.190;5.296.364.706.079.650
Cartagena;2020;2;17;15;8;6;35;13;1;2.684.867.469.650.670;4.809.967.585.206.180
Bucaramanga;2024;9;28;19;6;6;29;15;2;3.895.814.337.487.410;8.670.131.541.833.130
Pereira;2024;3;21;20;6;11;28;13;2;5.783.396.338.929.210;7.293.337.029.795.740
Medellín;2020;9;19;10;11;8;29;10;1;6.111.986.039.542.540;6.285.350.678.922.490
Cúcuta;2022;10;14;19;8;9;23;11;4;10.159.226.246.537.900;17.536.113.074.836.600
Manizales;2021;2;16;16;14;10;33;11;2;8.009.477.192.642.440;5.463.218.562.237.430
Santa Marta;2019;12;26;16;10;6;22;16;2;43.988.193.679.967.000;5.588.876.149.071.580
Barranquilla;2021;12;20;11;6;10;28;12;2;6.571.589.830.400.020;5.653.461.060.226.780
Santa Marta;2020;1;23;18;8;16;42;20;5;41.622.889.183.000.900;42.844.357.058.596.400
Medellín;2019;10;14;14;12;7;41;14;2;9.883.738.573.037.510;312.440.558.931.762
Pereira;2023;7;27;11;12;10;26;13;0;3.256.219.457.744.790;5.569.412.096.888.040
Medellín;2018;1;20;13;17;10;35;17;4;1.0;5.727.389.558.415.460
Medellín;2021;8;27;11;11;8;27;14;3;27.029.867.731.128.700;24.437.841.894.202.100
Cúcuta;2021;3;23;9;13;11;36;16;1;14.792.295.328.258.000;10.314.263.191.400.300
Barranquilla;2017;3;17;17;11;10;22;13;1;2.898.169.927.984.720;5.019.429.308.479.620
Manizales;2022;12;15;19;12;10;22;11;3;52.255.333.945.770.700;20.397.273.603.681.800
Santa Marta;2023;9;13;10;19;8;34;14;2;10.230.186.845.663.900;6.660.647.990.469.700
Barranquilla;2019;11;15;18;10;3;36;11;1;437.704.113.862.262;36.472.109.613.666.900
Cartagena;2015;12;17;7;9;8;33;18;3;10.672.994.126.508.000;614.252.787.164.011
Bogotá;2015;1;17;18;8;10;30;7;1;32.437.848.107.944.100;8.420.383.439.515.740
Santa Marta;2019;7;15;14;7;12;40;13;4;40.635.912.669.481.600;31.397.520.452.109.000
Bogotá;2016;2;15;12;11;3;27;12;1;42.931.572.618.572.200;4.780.390.101.213.160
